,Url_Short,Offer_Id,Scrape_Dt,Type,Price,HP,Init_Regist,Mileage,Fuel_Type,Transmission,Dealer_Name,Dealer_PLZ,Dealer_City,Dealer_Street_House_Nr,Dealer_Telnr,Init_Regist_MY,Init_Regist_Month,Init_Regist_Year,Init_Regist_Dt,Make,Mileage_num,HP_num,Price_num,Price_per_HP
0,https://www.autoscout24.ch/7324420,7324420,2020_03_17 07:34:45,AUDI A5 Sportback 3.0 TDI quattro S-tronic (Limousine),CHF 22'500.–,245 PS,10.2014,75'000 km,Diesel,Automatisiertes Schaltgetriebe,***confidential***,8488,Turbenthal,Mettlenstrasse 3,***confidential***,10.2014,10.0,2014.0,2014-10,AUDI,75000,245,22500,91.8
1,https://www.autoscout24.ch/7512768,7512768,2020_03_17 07:34:55,MERCEDES-BENZ SLK 200 7G-Tronic (Cabriolet),CHF 23'749.–,184 PS,6.2013,46'655 km,Benzin,Automat sequentiell,***confidential***,3186,Düdingen,Brugerastrasse 60,***confidential***,6.2013,6.0,2013.0,2013-06,MERCEDES-BENZ,46655,184,23749,129.1
2,https://www.autoscout24.ch/7512034,7512034,2020_03_17 07:35:03,MERCEDES-BENZ C 350 Avantgarde 4Matic 7G-Tronic (Limousine),CHF 18'500.–,306 PS,6.2011,138'955 km,Benzin,Automat sequentiell,***confidential***,1262,Eysins,1262 Eysins,***confidential***,6.2011,6.0,2011.0,2011-06,MERCEDES-BENZ,138955,306,18500,60.5
3,https://www.autoscout24.ch/7512728,7512728,2020_03_17 07:35:06,MERCEDES-BENZ A 45 AMG 4Matic Speedshift 7G-DCT (Limousine),CHF 36'000.–,360 PS,8.2015,43'000 km,Benzin,Automatisiertes Schaltgetriebe,***confidential***,4314,Zeiningen,Am Stutz 21,***confidential***,8.2015,8.0,2015.0,2015-08,MERCEDES-BENZ,43000,360,36000,100.0
4,https://www.autoscout24.ch/7490242,7490242,2020_03_17 07:35:16,AUDI A5 Sportback 2.0 TFSI Sport quattro S-tronic (Limousine),CHF 48'500.–,252 PS,9.2018,43'300 km,Benzin,Automatisiertes Schaltgetriebe,***confidential***,3250,Lyss,3250 Lyss,***confidential***,9.2018,9.0,2018.0,2018-09,AUDI,43300,252,48500,192.5
5,https://www.autoscout24.ch/7512188,7512188,2020_03_17 07:36:44,MERCEDES-BENZ SLK 200 Kompressor (Cabriolet),CHF 12'000.–,163 PS,12.2004,109'000 km,Benzin,Schaltgetriebe manuell,***confidential***,8832,Wollerau,Lindenstr. 1,***confidential***,12.2004,12.0,2004.0,2004-12,MERCEDES-BENZ,109000,163,12000,73.6
6,https://www.autoscout24.ch/7512184,7512184,2020_03_17 07:38:16,MERCEDES-BENZ C 350 Elégance Sport Edition 4Matic Automatic (Kombi),CHF 8'000.–,272 PS,5.2006,156'000 km,Benzin,Automat,***confidential***,6460,Altdorf,Spitalstrasse 8a,***confidential***,5.2006,5.0,2006.0,2006-05,MERCEDES-BENZ,156000,272,8000,29.4
7,https://www.autoscout24.ch/7512142,7512142,2020_03_17 07:39:00,SEAT Ibiza SC 1.4 TSI Cupra DSG (Kleinwagen),CHF 10'500.–,180 PS,2.201,71'400 km,Benzin,Automatisiertes Schaltgetriebe,***confidential***,3014,Bern,Morgartenstrasse 17,***confidential***,2.201,2.0,2010.0,2010-02,SEAT,71400,180,10500,58.3
8,https://www.autoscout24.ch/7511265,7511265,2020_03_17 07:39:06,PORSCHE 911 Turbo Cabrio PDK (Cabriolet),CHF 143'500.–,521 PS,7.2015,18'000 km,Benzin,Automatisiertes Schaltgetriebe,***confidential***,4133,Pratteln,Schauenburgerstrasse 22,***confidential***,7.2015,7.0,2015.0,2015-07,PORSCHE,18000,521,143500,275.4
9,https://www.autoscout24.ch/7511230,7511230,2020_03_17 07:42:10,VW Golf 1.4 TSI Comfortline (Limousine),CHF 19'800.–,125 PS,12.2015,110'000 km,Benzin,Schaltgetriebe manuell,***confidential***,1807,Blonay,Chemin du Sous-Bois 5,***confidential***,12.2015,12.0,2015.0,2015-12,VW,110000,125,19800,158.4
10,https://www.autoscout24.ch/7511828,7511828,2020_03_17 07:43:02,AUDI RS3 2.5 TSI quattro S-tronic (Limousine),CHF 59'800.–,400 PS,5.2018,32'000 km,Benzin,Automatisiertes Schaltgetriebe,***confidential***,2087,Cornaux,Route des Provins 36,***confidential***,5.2018,5.0,2018.0,2018-05,AUDI,32000,400,59800,149.5
11,https://www.autoscout24.ch/7511730,7511730,2020_03_17 07:44:08,VW Golf 2.0 TSI R 4Motion (Limousine),CHF 34'500.–,301 PS,4.2016,56'000 km,Benzin,Schaltgetriebe manuell,***confidential***,5724,Dürrenäsch,5724 Dürrenäsch,***confidential***,4.2016,4.0,2016.0,2016-04,VW,56000,301,34500,114.6
12,https://www.autoscout24.ch/7511638,7511638,2020_03_17 07:44:35,MERCEDES-BENZ A 250 Sport 4Matic 7G-DCT (Limousine),CHF 28'900.–,218 PS,5.2017,53'000 km,Benzin,Automatisiertes Schaltgetriebe,***confidential***,8320,Fehraltorf,Im Berg 5,***confidential***,5.2017,5.0,2017.0,2017-05,MERCEDES-BENZ,53000,218,28900,132.6
13,https://www.autoscout24.ch/7510626,7510626,2020_03_17 07:48:47,BMW 1er M Coupé (Coupé),CHF 44'999.–,340 PS,6.2012,50'500 km,Benzin,Schaltgetriebe manuell,***confidential***,8272,Ermatingen,Hauptstrasse,***confidential***,6.2012,6.0,2012.0,2012-06,BMW,50500,340,44999,132.4
14,https://www.autoscout24.ch/7407798,7407798,2020_03_17 08:01:22,AUDI RS3 2.5 TSI quattro S-tronic (Limousine),CHF 48'500.–,400 PS,9.2018,51'000 km,Benzin,Automatisiertes Schaltgetriebe,***confidential***,6900,Lugano,6900 Lugano,***confidential***,9.2018,9.0,2018.0,2018-09,AUDI,51000,400,48500,121.2
15,https://www.autoscout24.ch/7511040,7511040,2020_03_17 08:03:22,BMW M4 Cabriolet DKG (Cabriolet),CHF 77'800.–,431 PS,9.2018,14'500 km,Benzin,Automatisiertes Schaltgetriebe,***confidential***,8050,Zürich,Regensbergstrasse 302,***confidential***,9.2018,9.0,2018.0,2018-09,BMW,14500,431,77800,180.5
16,https://www.autoscout24.ch/7452216,7452216,2020_03_17 08:04:30,MERCEDES-BENZ GLE 250 d 4Matic 9G-Tronic (SUV / Geländewagen),CHF 31'500.–,204 PS,1.2016,107'500 km,Diesel,Automat sequentiell,***confidential***,8645,Jona,Blumenaustrasse 7,***confidential***,1.2016,1.0,2016.0,2016-01,MERCEDES-BENZ,107500,204,31500,154.4
17,https://www.autoscout24.ch/7355685,7355685,2020_03_17 08:09:00,AUDI A7 Sportback 3.0 TFSI quattro S-tronic (Limousine),CHF 19'900.–,310 PS,7.2012,149'500 km,Benzin,Automatisiertes Schaltgetriebe,***confidential***,3600,Thun,3600 Thun,***confidential***,7.2012,7.0,2012.0,2012-07,AUDI,149500,310,19900,64.2
18,https://www.autoscout24.ch/7328315,7328315,2020_03_17 08:09:09,BMW X3 xDrive 20d (SUV / Geländewagen),CHF 19'900.–,184 PS,11.2013,137'000 km,Diesel,Automat,***confidential***,1241,Geneve,28 Route de Presinge,***confidential***,11.2013,11.0,2013.0,2013-11,BMW,137000,184,19900,108.2
19,https://www.autoscout24.ch/7510896,7510896,2020_03_17 08:11:57,DS AUTOMOBILES DS3 Cabrio 1.6 THP Sport Chic (Cabriolet),CHF 8'800.–,156 PS,3.2013,67'000 km,Benzin,Schaltgetriebe manuell,***confidential***,1972,Anzère,Route du Nord 5,***confidential***,3.2013,3.0,2013.0,2013-03,DS,67000,156,8800,56.4
20,https://www.autoscout24.ch/7509998,7509998,2020_03_17 08:13:09,MERCEDES-BENZ S 500 4Matic 7G-Tronic (Limousine),CHF 52'000.–,455 PS,8.2014,76'000 km,Benzin,Automat sequentiell,***confidential***,8184,Bachenbülach,8184 Bachenbülach,***confidential***,8.2014,8.0,2014.0,2014-08,MERCEDES-BENZ,76000,455,52000,114.3
21,https://www.autoscout24.ch/7450524,7450524,2020_03_17 08:16:55,KIA Ceed Sporty Wagon 1.4 16V Basic (Kleinwagen),CHF 3'000.–,90 PS,10.201,165'000 km,Benzin,Schaltgetriebe manuell,***confidential***,1975,St. Severin,Route de Savoie 168,***confidential***,10.201,10.0,2010.0,2010-10,KIA,165000,90,3000,33.3
22,https://www.autoscout24.ch/7487570,7487570,2020_03_17 08:24:07,AUDI S3 Sportback 2.0 TFSI quattro (Limousine),CHF 16'999.–,265 PS,9.2011,74'000 km,Benzin,Schaltgetriebe manuell,***confidential***,2950,courgenay,Le Breuil 9,***confidential***,9.2011,9.0,2011.0,2011-09,AUDI,74000,265,16999,64.1
23,https://www.autoscout24.ch/7493778,7493778,2020_03_17 08:32:17,JAGUAR F-Pace 2.0d Prestige AWD Automatik (SUV / Geländewagen),CHF 29'999.–,180 PS,4.2017,69'450 km,Diesel,Automat sequentiell,***confidential***,8262,Ramsen,8262 Ramsen,***confidential***,4.2017,4.0,2017.0,2017-04,JAGUAR,69450,180,29999,166.7
24,https://www.autoscout24.ch/7467442,7467442,2020_03_17 08:32:18,BMW 535i xDrive Luxury Line Steptronic (Limousine),CHF 28'750.–,306 PS,11.2013,91'000 km,Benzin,Automat sequentiell,***confidential***,8702,Zollikon,8702 Zollikon,***confidential***,11.2013,11.0,2013.0,2013-11,BMW,91000,306,28750,94.0
25,https://www.autoscout24.ch/7427995,7427995,2020_03_17 08:32:20,VW Scirocco 1.4 TSI DSG (Coupé),CHF 6'200.–,160 PS,6.2009,202'000 km,Benzin,Automatisiertes Schaltgetriebe,***confidential***,1815,Clarens,Av.mayor-vautier,***confidential***,6.2009,6.0,2009.0,2009-06,VW,202000,160,6200,38.8
26,https://www.autoscout24.ch/7510237,7510237,2020_03_17 08:32:37,FERRARI 348 ts (Cabriolet),CHF 54'900.–,286 PS,12.1992,32'900 km,Benzin,Schaltgetriebe manuell,***confidential***,4410,Liestal,Arisdörferstrasse 108,***confidential***,12.1992,12.0,1992.0,1992-12,FERRARI,32900,286,54900,192.0
27,https://www.autoscout24.ch/7510248,7510248,2020_03_17 08:32:43,MERCEDES-BENZ ML 63 AMG 4Matic 7G-Tronic (SUV / Geländewagen),CHF 19'500.–,510 PS,8.2006,170'000 km,Benzin,Automat sequentiell,***confidential***,8750,Glarus,8750 Glarus,***confidential***,8.2006,8.0,2006.0,2006-08,MERCEDES-BENZ,170000,510,19500,38.2
28,https://www.autoscout24.ch/7510212,7510212,2020_03_17 08:32:48,AUDI A6 Avant 3.0 BiTDI V6 qu. competition tiptronic (Kombi),CHF 41'900.–,326 PS,1.2016,71'000 km,Diesel,Automat sequentiell,***confidential***,3063,Ittigen,"Kirschenackerweg, 30",***confidential***,1.2016,1.0,2016.0,2016-01,AUDI,71000,326,41900,128.5
29,https://www.autoscout24.ch/7510203,7510203,2020_03_17 08:33:13,FIAT 500 1.2 Lounge (Kleinwagen),CHF 7'500.–,70 PS,4.2015,33'622 km,Benzin,Schaltgetriebe manuell,***confidential***,9496,Balzers,Plattenbach 8,***confidential***,4.2015,4.0,2015.0,2015-04,FIAT,33622,70,7500,107.1
30,https://www.autoscout24.ch/7509426,7509426,2020_03_17 08:33:23,DODGE Challenger GT AWD (Coupé),CHF 40'000.–,309 PS,5.2019,30'000 km,Benzin,Automatik-Getriebe,***confidential***,5507,Mellingen,lenzburgerstrasse 55,***confidential***,5.2019,5.0,2019.0,2019-05,DODGE,30000,309,40000,129.4
31,https://www.autoscout24.ch/7509715,7509715,2020_03_17 08:33:29,AUDI S3 Sedan 2.0 TFSI quattro S-tronic (Limousine),CHF 37'500.–,310 PS,2.2017,64'100 km,Benzin,Automatisiertes Schaltgetriebe,***confidential***,8635,Dürnten,Kellerlochstrasse 7,***confidential***,2.2017,2.0,2017.0,2017-02,AUDI,64100,310,37500,121.0
32,https://www.autoscout24.ch/7509404,7509404,2020_03_17 08:33:31,OPEL Insignia Sports Tourer 2.0 CDTI Cosmo 4WD Aut. (Kombi),CHF 18'500.–,170 PS,6.2016,96'000 km,Diesel,Automat sequentiell,***confidential***,6078,Lungern,Badmattweg 29,***confidential***,6.2016,6.0,2016.0,2016-06,OPEL,96000,170,18500,108.8
33,https://www.autoscout24.ch/7510150,7510150,2020_03_17 08:33:32,BMW 118i (Limousine),CHF 5'549.–,143 PS,6.2007,152'000 km,Benzin,Schaltgetriebe manuell,***confidential***,8956,Killwangen,Rütenenstrasse 19.,***confidential***,6.2007,6.0,2007.0,2007-06,BMW,152000,143,5549,38.8
34,https://www.autoscout24.ch/7510017,7510017,2020_03_17 08:34:40,SEAT Leon 2.0 TSI World Champion Edition (Limousine),CHF 13'000.–,285 PS,6.2009,130'000 km,Benzin,Schaltgetriebe manuell,***confidential***,6210,Sursee,Cenrtralstrasse 31e,***confidential***,6.2009,6.0,2009.0,2009-06,SEAT,130000,285,13000,45.6
35,https://www.autoscout24.ch/7510044,7510044,2020_03_17 08:34:42,VW Passat Variant 2.0 TDI BMT Comfortline 4M (Kombi),CHF 9'900.–,140 PS,12.2011,180'200 km,Diesel,Schaltgetriebe manuell,***confidential***,7260,Davos Dorf,Museumstrasse 19,***confidential***,12.2011,12.0,2011.0,2011-12,VW,180200,140,9900,70.7
36,https://www.autoscout24.ch/7503206,7503206,2020_03_17 08:34:43,AUDI SQ5 3.0 TDI quattro tiptronic (SUV / Geländewagen),CHF 47'900.–,326 PS,8.2016,46'700 km,Diesel,Automat sequentiell,***confidential***,8408,Winterthur,Oberfeldstrasse 83a,***confidential***,8.2016,8.0,2016.0,2016-08,AUDI,46700,326,47900,146.9
37,https://www.autoscout24.ch/7509999,7509999,2020_03_17 08:34:45,MERCEDES-BENZ A 200 CDI Urban (Limousine),CHF 20'000.–,136 PS,1.2014,104'000 km,Diesel,Automat,***confidential***,8932,Mettmenstetten,Langacherstrasse 14,***confidential***,1.2014,1.0,2014.0,2014-01,MERCEDES-BENZ,104000,136,20000,147.1
