web-scraper-order,address_raw,datetime,rooms,area,luxurious,price_per_m2,lat,lon
1693998201-1,"Neuhusstrasse 6, 8630 Rüti ZH, ZH",2023-09-06 15:10:34,3.0,49.0,0,29.41,47.25217056274414,8.845796585083008
1693998201-2,"Zürcherstrasse 1, 8173 Neerach, ZH",2023-09-06 15:10:34,3.5,65.0,0,28.46,47.51333236694336,8.47485065460205
1693998201-4,"Cramerstrasse 8-12, 8004 Zürich, ZH",2023-09-06 15:10:34,2.0,54.0,0,89.87,,
1693998201-5,"Rotachstrasse 33, 8003 Zürich, ZH",2023-09-06 15:10:34,2.0,49.0,0,88.47,47.370792388916016,8.514747619628906
1693998201-16,"Wolframplatz 1, 8045 Zürich, ZH",2023-09-06 15:10:34,2.0,32.0,0,109.84,47.362281799316406,8.52219295501709
1693998205-25,"Badenerstrasse 67, 8953 Dietikon, ZH",2023-09-06 15:10:34,3.5,105.0,0,30.48,47.40792465209961,8.392560958862305
1693998205-26,"Frowiesstrasse 36, 8344 Bäretswil, ZH",2023-09-06 15:10:34,5.5,140.0,0,19.64,,
1693998205-27,"Kanzleistrasse 15, 8418 Schlatt ZH, ZH",2023-09-06 15:10:34,4.5,104.0,0,25.96,47.46419906616211,8.845925331115723
1693998205-29,"Bolletweg 14, 8934 Knonau, ZH",2023-09-06 15:10:34,5.5,150.0,0,22.6,47.226043701171875,8.46156120300293
1693998205-30,"Im Zauner 24, 8352 Elsau, ZH",2023-09-06 15:10:34,3.0,70.0,0,35.0,47.501670837402344,8.805103302001953
1693998205-32,"Maneggstrasse 87, 8041 Zürich, ZH",2023-09-06 15:10:34,3.5,98.0,0,31.85,47.337913513183594,8.520033836364746
1693998205-33,"Haldenstrasse 67, 8602 Wangen b. Dübendorf, ZH",2023-09-06 15:10:34,4.5,118.0,0,28.73,47.4155158996582,8.635632514953613
1693998205-34,"Hobelwerkweg 39a, 8404 Winterthur, ZH",2023-09-06 15:10:34,3.5,86.0,0,22.91,47.50949478149414,8.762660026550293
1693998205-35,"Hobelwerkweg 39a, 8404 Winterthur, ZH",2023-09-06 15:10:34,3.5,71.0,0,22.96,47.50949478149414,8.762660026550293
1693998205-36,"Albisriederstrasse 392a, 8047 Zürich, ZH",2023-09-06 15:10:34,5.5,192.0,0,25.83,47.37469482421875,8.482722282409668
1693998205-37,"Tisliacherstrasse 8, 8320 Fehraltorf, ZH",2023-09-06 15:10:34,5.5,166.0,0,21.08,47.383731842041016,8.760611534118652
1693998205-38,"Buckwiesstrasse 12, 8700 Küsnacht ZH, ZH",2023-09-06 15:10:34,5.5,232.0,0,36.64,47.31980514526367,8.59211254119873
1693998205-39,"Binzigerstrasse 52, 8707 Uetikon am See, ZH",2023-09-06 15:10:34,6.5,300.0,1,0.04,47.26718521118164,8.689931869506836
1693998205-40,"Hinterdorfstr. 4, 8315 Lindau, ZH",2023-09-06 15:10:34,4.5,124.0,0,22.1,47.44243621826172,8.671416282653809
1693998205-41,"Dübendorfstrasse 22, 8602 Wangen b. Dübendorf, ZH",2023-09-06 15:10:34,3.5,94.0,0,25.0,47.40997314453125,8.642498970031738
1693998205-43,"Limmatstrasse 260, 8005 Zürich, ZH",2023-09-06 15:10:34,4.5,170.0,0,38.82,47.38913345336914,8.52584171295166
1693998205-44,"Friedenweg 5, 8192 Glattfelden, ZH",2023-09-06 15:10:34,3.5,100.0,0,20.8,47.55609893798828,8.506474494934082
1693998205-45,"Niederglatterstrasse 21, 8155 Niederhasli, ZH",2023-09-06 15:10:34,3.5,80.0,0,27.96,47.48181915283203,8.487357139587402
1693998205-46,"Marktgasse 17, 8400 Winterthur, ZH",2023-09-06 15:10:34,4.5,160.0,0,20.0,47.49971008300781,8.729727745056152
1693998205-48,"Goldistenstrasse 23, 8625 Gossau ZH, ZH",2023-09-06 15:10:34,7.5,210.0,0,20.0,47.30751037597656,8.764126777648926
1693998210-50,"8152 Glattpark (Opfikon), ZH",2023-09-06 15:10:34,2.5,78.0,0,35.26,47.42475509643555,8.563809394836426
1693998210-51,"Hofackerstrasse 5, 8422 Pfungen, ZH",2023-09-06 15:10:34,4.5,107.0,0,17.76,47.515235900878906,8.642589569091797
1693998210-52,"Untere Briggerstrasse 66, 8406 Winterthur, ZH",2023-09-06 15:10:34,3.5,88.0,0,25.5,47.49394989013672,8.7112398147583
1693998210-53,"Bergstrasse  16, 8955 Oetwil an der Limmat, ZH",2023-09-06 15:10:34,5.5,282.0,0,21.28,47.428916931152344,8.398645401000977
1693998210-54,"Hagenholzstrasse 100, 8050 Zürich, ZH",2023-09-06 15:10:34,4.5,141.0,0,23.47,47.414215087890625,8.558320045471191
1693998210-55,"8303 Bassersdorf, ZH",2023-09-06 15:10:34,4.5,136.0,0,25.0,47.44166946411133,8.630970001220703
1693998210-56,"8152 Glattbrugg, ZH",2023-09-06 15:10:34,1.5,26.0,0,61.54,47.43394470214844,8.5704927444458
1693998210-57,"8182 Hochfelden, ZH",2023-09-06 15:10:34,5.5,148.0,0,20.22,47.52355194091797,8.51548957824707
1693998210-58,"Lehenstrasse 51, 8037 Zürich, ZH",2023-09-06 15:10:34,1.5,35.0,0,49.71,47.39653015136719,8.523354530334473
1693998210-59,"8180 Bülach, ZH",2023-09-06 15:10:34,4.0,80.0,0,26.88,47.5200309753418,8.5663423538208
